,Year,Reference,Abstract,cluster_4,cluster_5
264,2019,"Lee, C., Zhao, X., & Lee, Y. (2019). Service quality driven approach for innovative retail service system design and evaluation: A case study. Computers & Industrial Engineering, 135, 275-285. doi:10.1016/j.cie.2019.06.001 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=137891474&site=ehost-live","• This study proposes a service quality driven design methodology for service systems. • The approach is integrated with SERVQUAL model and TRIZ for the innovative service system. • A case study in retail sector is studied to verify the proposed methodology. • This study uses a survey to evaluate the customer behavior and experience through the new service. • The approach creates new technological paradigm for new smart shopping guidance services system. This paper proposes a service-quality-driven service design approach with four phases using the SERVQUAL model and the theory of inventive problem solving (TRIZ). In the ""Retail service quality measurement"" phase, the customer requirements are identified from a service quality perspective. Then, in ""Identifying problem and contradiction elimination"" phase, the above service quality dimensions are figured out by Problem formulator as the parameters to be the input of the service TRIZ contradiction matrix. In ""Specific retail solution generation"" phase, the service TRIZ contradiction matrix is constructed, which leads to the resolution of innovative principles and then new service system can be carried out. Then, we evaluate the new service system in the ""Evaluating customer experience"" phase by using the experiential model. This paper uses a shopping mall case study to verify the proposed novel approach. By using the proposed design approach, a new smart shopping guidance services system: ""Whereabout identified personalized service"" (WIPS) with both interactive signage and Apps was proposed and developed. Finally, a consumer survey was conducted to identify the factors that influenced service quality in the retail business, and to evaluate the consumer perceptions of a shopping image in a tangible shopping district. ",2,2
265,2019,"Lin, Y., Luo, J., Ieromonachou, P., Rong, K., & Huang, L. (2019). Strategic orientation of servitization in manufacturing firms and its impacts on firm performance. Industrial Management & Data Systems, 119(2), 292-316. doi:10.1108/IMDS-10-2017-0485 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=134855790&site=ehost-live","The of this paper is to provide implementation insights and implications regarding the strategic orientations of servitization by testing its impacts on firm performance, including financial performance and customer service performance. Empirical research is conducted using an online survey disseminated to manufacturing firms in Southeast China. This research develops and verifies a strategic fit framework to understand the relationship between the strategic orientation of servitization and service innovation (SI), and its resulting impacts on firm performance. The results show that service orientation (SO) has direct positive impacts on firm performance in the manufacturing sector. Customer orientation (CO) and learning orientation (LO) have no direct impact on firm performance, although they have indirect impacts on it via the mediating role of SI capability. Moreover, SO has a similar indirect impact on firm performance via SI capability. The survey focuses only on China; future studies should verify whether different cultural backgrounds impact the research results. The results suggest that firms should build up three strategic orientations (SO, CO and LO) for implementing servitization to facilitate SI capability and, thus, to improve firm performance.This research contributes to enhancing the theory of servitization by developing a strategic fit model of servitization and revealing the impact mechanism of servitization in the manufacturing sector. ",2,2
266,2019,"Liu, F. H., Chen, L. J., & Tsou, H. T. (2019). Suppliers' local network embeddedness and buyers' joint innovation: Mediating role of service innovation competence. International Marketing Review, 36(3), 342-364. doi:10.1108/IMR-05-2018-0164 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=136617991&site=ehost-live","The of this paper is to investigate the effects of original equipment manufacturing suppliers' local network embeddedness on buyers' relative attention and joint innovation through service innovation competence. A structural equation model was analyzed using AMOS 21 with data derived from 165 buyers in the Taiwanese electronics industry. From the buyer perspective, suppliers with embedded network relationships in emerging markets are perceived to be service oriented and to have relative attention and joint innovation that are attractive to buyers. In addition, the  of empirical testing conducted in this study suggest that perceived exploitative and explorative service innovation competence partially mediate the relationship between perceived network embeddedness and relative attention, while explorative service innovation competence partially mediates the influence of perceived network embeddedness on buyers' joint innovation. This study innovatively employed a buyer perspective to examine the servitization of manufacturing suppliers and the effects of this on the buyer–supplier relationship, providing new insights into the role of service innovation competence as well as important theoretical and managerial implications. ",2,2
267,2019,"Ozkul, A. S., Damali, U., Nandialath, A. M., & Stapleton, A. (2019). Customer and employee perceptual congruence in service co-production. Quality Management Journal, 26(1), 2-17. doi:10.1080/10686967.2018.1542286 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=134195149&site=ehost-live","Building on perceptual congruence research, this paper argues that when a customer and a front-line employee have similar perceptions of a co-produced output, employee awareness can support quality improvement efforts in service operations. The authors develop an analytical model describing perceptual congruence in a dyadic customer-employee relationship using a constant elasticity of substitution (CES) function. This model allows the authors to describe a service context with three factors: 1) customer work-allocation level (that is, percent of work expected to be done by the customer); 2) customer-employee interaction level (that is, level of communication needed); and 3) customer-employee interaction type (that is, superiority or inferiority perceived by the customer and the employee in the interaction). The authors also calculate which type of customer-employee perceptual bias alignment is needed to achieve perceptual congruence under these three contextual factors. Their model may guide service managers how to manage perceptual biases — considering their service design characteristics to achieve perceptual congruence. ",3,3
268,2019,"Reim, W., Sjödin, D. R., & Parida, V. (2019). Servitization of global service network actors – A contingency framework for matching challenges and strategies in service transition. Journal of Business Research, 104, 461-471. doi:10.1016/j.jbusres.2019.01.032 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=138129377&site=ehost-live","Servitization is a rising trend across manufacturing companies, but it is not achievable without the corresponding transition of the manufacturers' service network. Despite the key role of service network actors, their servitization pathways are not widely understood. Thus, the of this paper is to understand how diverse service network actors approach servitization under varying conditions.  are derived from an exploratory case study of eight service network actors for a global construction equipment manufacturer. The analysis reveals that service network actors face major capability-(lack of service provision capabilities, lack of service provision vision) and market-related challenges (unfavorable local conditions, low customer service readiness) that hinder their transformation. The analysis also reveals four unique servitization strategies (service extension, service benchmarking, digitalization, customer co-creation) that service network actors implement. A contingency framework is proposed to explain which challenges can be matched with which servitization strategies to achieve service network servitization. ",2,2
269,2019,"Ruiz-Alba, J., Soares, A., Rodríguez-Molina, M. A., & Frías-Jamilena, D. M. (2019). Servitization strategies from customers' perspective: The moderating role of co-creation. Journal of Business & Industrial Marketing, 34(3), 628-642. doi:10.1108/JBIM-02-2017-0028 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=135793445&site=ehost-live","This paper aims to investigate the moderating role of co-creation in the implementation of servitization strategies in the pharmaceutical industry in a business-to-business (B-to-B) context. More specifically, this investigation explores the impact of different levels of services (base, intermediate and advanced) on servitization and on performance by using co-creation as a moderating factor. A research framework was developed and empirically tested in the pharmaceutical sector. Data collection was conducted through the online distribution of questionnaires. The final sample included 219 pharmacy stores, and the data were analysed using structural equation modelling. Main  suggest that when the level of co-creation of the design of services is high, there are significant effects of servitization on firm performance. The moderating effect of co-creation is illustrated in regard to intermediate and advanced services, but results referring to the impact of intermediate services on servitization appear non-significant with a low degree of co-creation. No significant effects could be found for the impact of base services on performance and servitization for both high and low degrees of co-creation.  show an impact of advanced services on performance through the mediating effect of servitization when the degree of co-creation is high.Most research concerning servitization has been done from the perspective of manufacturers and service providers. This study adds value to the literature because it was designed from a customer's perspective. Moreover, it contributes towards the conceptualization of the servitization research strategy and business models in a B2B context. This is accomplished through the investigation of the moderating effect of co-creation on the impact of the different levels of services on servitization and on performance. ",2,2
270,2019,"Schallehn, H., Seuring, S., Strähle, J., & Freise, M. (2019). Defining the antecedents of experience co-creation as applied to alternative consumption models. Journal of Service Management, 30(2), 209-251. doi:10.1108/JOSM-12-2017-0353 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=136543073&site=ehost-live","The of this paper is to propose a conceptual framework of experience co-creation that captures the multi-dimensionality of this construct, as well as a research process for defining of the antecedents of experience co-creation. The framework of experience co-creation was conceptualized by means of a literature review. Subsequently, this framework was used as the conceptual basis for a qualitative content analysis of 66 empirical papers investigating alternative consumption models (ACMs), such as renting, remanufacturing, and second-hand models. The qualitative content analysis resulted in 12 categories related to the consumer and 9 related to the ACM offerings that represent the antecedents of experience co-creation. These categories provide evidence that, to a large extent, the developed conceptual framework allows one to capture the multi-dimensionality of the experience co-creation construct.  This study underscores the understanding of experience co-creation as a function of the characteristics of the offering – which are, in turn, a function of the consumers' motives as determined by their lifeworlds – as well as to service design as an iterative approach to finding, creating and refining service offerings. Practical implications: The investigation of the antecedents of experience co-creation can enable service providers to determine significant consumer market conditions for forecasting the suitability and viability of their offerings and to adjust their service designs accordingly. This paper provides a step toward the operationalization of the dimension-related experience co-creation construct and presents an approach to defining the antecedents of experience co-creation by considering different research perspectives that can enhance service design research.  ",3,3
271,2019,"Secchi, E., Roth, A., & Verma, R. (2019). The impact of service improvisation competence on customer satisfaction: Evidence from the hospitality industry. Production & Operations Management, 28(6), 1329-1346. doi:10.1111/poms.12969 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=136997678&site=ehost-live","This study formally develops and empirically tests a new construct, termed service improvisation competence (Serv?IC), that constitutes a novel way to improve customer experience in high?contact service contexts. Serv?IC is operationalized as the systemic ability of a service firm's employees to deviate from established service delivery processes and routines to respond in a timely manner to unforeseen events using available resources. Serv?IC is a realized operational competence resulting from a deliberate set of service design choices consistent with a firm's service concept. The construct embodies a multidisciplinary perspective that explains, in part, how some firms can systemically use employee improvisation to align service processes and employee behaviors in the presence of customer?induced uncertainty. As a first, theory?building step we follow a rigorous, two?stage approach to develop a reliable and valid multi?item measurement scale for Serv?IC, emphasizing discriminant validity with related concepts. We then introduce a set of experientially based service design choices that constitute a Serv?IC deployment strategy. Finally, we investigate its effect on customer satisfaction. Our empirical results show that Serv?IC can play an important role in satisfying customers within certain boundaries. Counter to conventional wisdom, Serv?IC increases customer satisfaction in lower?tier hotels more than in upscale ones. ",3,3
272,2019,"SHIKATA, N., GOTO, S., & GEMBA, K. (2019). Servitisation of the manufacturing industry in japan. Forum Scientiae Oeconomia, 7(3), 19-30. doi:10.23762/FSO_VOL7_NO3_2 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=139206253&site=ehost-live","The recent decline in the profitability of Japanese manufacturers has led to 'service innovation' or servitisation - the development of advanced service businesses utilising information technology. This study analyses 13,322 companies in the Japanese manufacturing industry and finds that servitisation contributes to their profitability. The major difference between servitisation companies and others is that the former sell products to end consumers. We examine two case studies of companies which have built mechanisms to facilitate continuous service provision. ",2,2
273,2019,"Sjödin, D., Parida, V., & Kohtamäki, M. (2019). Relational governance strategies for advanced service provision: Multiple paths to superior financial performance in servitization. Journal of Business Research, 101, 906-915. doi:10.1016/j.jbusres.2019.02.042 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=137210989&site=ehost-live","The ability of manufacturing companies to offer advanced services and achieve superior financial performance remains an open question in the servitization literature. One central question relates to how providers govern customer relationships to realize profits through servitization. This study addresses this question by unraveling the complex relations between advanced service provision, relational governance strategies, and the financial performance of manufacturing firms. Drawing on a dataset of 50 Swedish advanced service providers, this study uses a configurational comparative method—namely, fuzzy-set qualitative comparative analysis (fsQCA)—to identify the influence of configurations of governance conditions (i.e., service innovation, perceived switching costs, the attractiveness of alternatives, and explicit contracts) on firm performance. This study contributes through the identification of three alternative governance strategies that enable advanced service providers to benefit from service provision: 1) innovation governance strategy (high service innovation, low attractiveness of alternatives, and low use of explicit contracts); 2) relational governance strategy (high service innovation, high perceived switching costs, and low use of explicit contracts); and 3) market-based governance strategy (high service innovation, low perceived switching costs, high attractiveness of alternatives, and high use of explicit contracts). These results enrich the literature on servitization and advanced services by reflecting the need to apply diverse relational governance strategies. The results suggest multiple paths to superior financial performance. ",2,2
274,2019,"Tan, K. H., Ji, G., Chung, L., Wang, C., Chiu, A., & Tseng, M. L. (2019). Riding the wave of belt and road initiative in servitization: Lessons from china. International Journal of Production Economics, 211, 15-21. doi:10.1016/j.ijpe.2019.01.027 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=135744346&site=ehost-live","In light of increasing demand in services, manufacturers are moving further downstream in order to interact and respond to customers' needs more effectively. Several authors have proposed servitization models based on the product service system (PSS) concept. However, little is available to guide manufacturers to integrate their products and services in practice. Existing models tend to be vague in their implementation details, and the successful examples provided are mainly based on the multinational firms in developed countries. This paper aims to address the manufacturing servitization gap both in the literature and practice. This paper proposes a CIT (Customer Co-creation; Strategic Intent; Technology Mapping) framework to guide Chinese manufacturers to tap into the service value chain. The developed framework is then tested in a firm. This paper discusses the feasibility and  of the proposed framework, and the wider implications for servitization under the belt and road initiative. ",1,1
275,2019,"Urbinati, A., Bogers, M., Chiesa, V., & Frattini, F. (2019). Creating and capturing value from big data: A multiple-case study analysis of provider companies. Technovation, 84/85, 21-36. doi:10.1016/j.technovation.2018.07.004 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=136419323&site=ehost-live","Big Data has recently emerged as a new digital paradigm, one that companies adopt in order to both transform existing business models and nurture their innovation activities. The peculiarities of Big Data applications span different fields such as customer need identification, risk management and decision-making, data-driven knowledge, product and service design, quality management, and opportunity recognition and creation. However, while these have resulted in the emergence of a rich research domain focusing on the managerial and  typically addressed from the user perspective, there is still a lack of complete understanding of how companies that provide Big Data solutions can create and capture value from them. This paper explores the question of how provider companies create and capture value from Big Data, drawing on a multiple-case study analysis of provider companies that offer solutions and services based on Big Data. The results illustrate a theoretical framework on value creation and capture by relying on Big Data and identify two main innovation service strategies based on Big Data used by provider companies. In addition, this paper provides valuable insights as to how the network of involved stakeholders influences the design and implementation of the innovation service strategy by the provider companies. • The paper purposefully focuses on value creation and capture through Big Data from the perspective of companies providing services and solutions that leverage Big Data. • The paper draws on a multiple case study analysis of provider companies that take advantage from Big Data in order to improve their value proposition towards customers. • A theoretical framing on the role of Big Data for value creation and capture processes was proposed. • The paper presents two main innovation service strategies based on Big Data that aim to represent a strategic framework that provider companies establish in order to innovate their value proposition towards their customers and to allow the creation and capture of value for customers and themselves. • The paper discusses the role of customer involvement and interactions, as the end users represent a key stakeholder that shapes the development and implementation of the service innovations pursued by the provider companies. ",2,2
276,2019,"Van Riel, A. C. R., Zhang, J. J., McGinnis, L. P., Nejad, M. G., Bujisic, M., & Phillips, P. A. (2019). A framework for sustainable service system configuration: Exploring value paradoxes with examples from the hospitality industry. Journal of Service Management, 30(3), 349-368. doi:10.1108/JOSM-12-2018-0396 Retrieved from http://ezproxy.insead.edu:80/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=137948633&site=ehost-live","While innovative service systems may create substantial value for certain stakeholders, they often destroy value for others. This value paradox frequently leads to unsustainable service systems. The of this paper is to explore the use of multiple theories to pinpoint and explain these value paradoxes, build a framework allowing potentially more sustainable value configuration of service systems and develop an agenda for future research. The framework is illustrated with examples from the hospitality industry. The paper draws on prevalent theories and approaches, including service-dominant logic, business modeling, transaction cost economics, stakeholder theory, configuration theory and set theory, to develop a value configuration framework. In a service system, the configuration of resources and relationships between these resources (i.e. the set of value propositions for various stakeholders of the system) determines which stakeholders will gain and which will lose and to what extent. For that reason, insight into the range of possible service configurations – or business models – will help decision makers consider the effects on various stakeholders, and, where possible, set their priorities right and make their businesses more sustainable. The research produces a rich research agenda.  Examples from hospitality allow an in-depth examination of a range of dynamic configurational and technological innovations, but some idiosyncratic characteristics of the context may impede the wider applicability of the conceptual framework. Future research could complement this work by studying other service sectors. Practical implications: The paper aims to provide decision makers in the service industry with a conceptual tool to explore, diagnose and, if needed, adjust the value configuration of their service operations. In practice, this tool may help explicate the service system configuration, thus helping managers determine their organizations' desired positioning in terms of value creation and destruction, and to choose strategic directions by adapting configurations. Legislation and regulations are being adapted to various new service configurations. This paper attempts to – at least conceptually – distinguish different service configurations, allowing policy makers to identify the value trade-offs between stakeholders, including society at large. Previous research focused primarily on value creation by innovative services and business models. Value creation for one stakeholder, However, could lead to value destruction for another. Taking this paradox into consideration may result in more open service ecosystems that explicitly consider sustainability and value implications in multiple dimensions and for a broader group of stakeholders.  ",2,2
277,2019,"Wang, Y., Meng, Q., & Kuang, H. (2019). Intercontinental liner shipping service design. Transportation Science, 53(2), 344-364.","Intercontinental liner container shipping service connects trades between different continents in the global logistic system. This paper proposes a single intercontinental service design problem that aims to jointly determine the optimal serviced ports from a set of candidate ports, the port rotation, the ship sailing speed on each voyage between adjacent serviced ports and the number of containers transported for each type of shipping demand. A mixed integer linear programming model is formulated for the proposed problem based on mild assumptions to maximize the service profit, which is calculated as the freight revenue minus the total operating cost that includes port stay cost, container handling cost, bunker consumption cost, and other ship operating costs. The formulated model is also able to produce a service route with a more general topological structure than the simple cycle or butterfly cycle routes considered in most current studies. In view of the unique features of the model, a tailored and exact branch-and-cut algorithm is developed based on Benders decomposition to expedite the model solution. Numerical experiments demonstrate the efficiency of the developed branch-and-cut algorithm and show the applicability of the proposed model for designing the intercontinental liner shipping services.",4,5
278,2019,"Dotzel, T., & Shankar, V. (2019). The relative effects of business-to-business (vs. business-to-consumer) service innovations on firm value and firm risk: an empirical analysis. Journal of Marketing, 83(5), 133-152.","Many firms introduce both business-to-business service innovations (B2B-SIs) and business-to-consumer service innovations (B2C-SIs) and need to better allocate their resources. However, they are unsure about B2B-SIs’ effects on firm value or risk, especially relative to those of B2C-SIs. The authors address this problem by developing hypotheses that relate the number of B2B-SIs and B2C-SIs to firm value and firm risk together with the moderators (the number of product innovations and customer-focus innovations). To test the hypotheses, the authors develop and estimate a model using unique panel data of 2,263 SIs across 15 industries over eight years assembled from multiple data sources and controlling for firm- and market-specific factors, heterogeneity, and endogeneity. They analyze innovation announcements using natural language processing. The results show that B2B-SIs have a positive effect on firm value and an insignificant influence on firm risk. Importantly, the effect of a B2B-SI on firm value is significantly greater than that of a B2C-SI. Unlike B2C-SIs, the effect of B2B-SIs on firm value is greater when the firm has more product innovations. Surprisingly, unlike B2C-SIs, the effect of B2B-SIs on firm value is less positive when the SIs emphasize customers. These findings offer important insights about the relative value of B2B-SIs.",2,2
279,2019,"Pinto, M. R., Saur-Amaral, I., & Brito, C. (2019). Boosting service innovation: the role of consultancies. Journal of Innovation Management, 7(3), 41-68.","This paper seeks to make a particular contribution in what are the roles of consultancies as key innovation intermediaries in service industry. In line with previous literature, the research purposes to test the application of Pinto et al (2016) framework within service companies, triangulating the findings of Pinto et al (2017). Four in-depth case studies of service companies were developed, resulting on detailed descriptions of the phenomenon using constructs to order the data and relate to earlier literature. Key findings highlight changes in motivations for consultancy engagement, from an initial focus on knowledge (output) to a focus on methodology (process). The adequacy of the framework proposed by Pinto et al (2016) is confirmed, and a new function of intermediaries arises from this study, related with “evaluation of innovation outcomes”. The study highlights the contribution of consultancies in preparing companies to innovate.",2,2
280,2019,"Mejia, J., Urrea, G., & Pedraza?Martinez, A. J. (2019). Operational transparency on crowdfunding platforms: effect on donations for emergency response. Production and Operations Management, 28(7), 1773-1791.","Online crowdfunding has emerged as a powerful tool to raise funds for emergency response. Crowdfunding campaigns can use two transparency tools to attract donors: updates and certification. Updates are additional messages that the organizer issues after launching the campaign and are a form of operational transparency when they communicate the campaign’s work to donors. Alternatively, certification is a form of conventional transparency that ensures the campaign truly benefits a charitable purpose. Using an econometric analysis, we investigate the effects of transparency on donations. We study the direction of causality and mechanisms behind work?related updates by conducting an experiment. Results from the econometric analysis using over 100,000 campaigns benefiting victims of emergencies reveal that both updates and certification have positive effects on donations. Each additional work?related word in an update (operational transparency) increases donations on average by $65 per month, while certification (conventional transparency) raises funds on average by $22 per month. Results from the experiment confirm the direction of causality; posting work?related updates in crowdfunding campaigns increases donations. Two mechanisms explain this effect: donors’ enhanced perceptions of effort and perceptions of trust.",3,3
281,2019,"Dhanorkar, S. (2019). Environmental benefits of internet-enabled C2C closed-loop supply chains: A quasi-experimental study of Craigslist. Management Science, 65(2), 660-680.","Recently, online matching platforms (e.g., Craigslist, FreeCycle, Gumtree) have enabled consumers to directly connect with each other to buy/sell used consumer goods (electronics, furniture, packaging, etc.) that would have otherwise ended up in the waste stream. Such matching platforms can facilitate the creation of consumer-to-consumer (C2C) closed-loop supply chains (CLSCs) for used goods, which can enhance product reuse and limit reliance on recycling and disposal alternatives. Yet, the true environmental benefits of these internet-enabled C2C CLSCs remain to be ascertained. In this study, I use a quasi-experimental setup to examine how Craigslist’s entry into various U.S. geographic markets impacts a key environmental outcome: municipal solid waste (MSW). I assemble a data set from various disparate sources to test my hypothesis. I find that, on average, Craigslist’s entry into a geographic market results in a 2%–6% annual reduction in MSW per capita generated. I conduct a variety of robustness checks, falsification tests, and validation checks to provide support to my findings. Overall, this study provides deeper insights into the potential of online reuse platforms for the creation and coordination of C2C CLSCs. To my knowledge, this is the first study of closed-loop supply chains in a C2C context.",4,5
282,2019,"Benjaafar, S., Kong, G., Li, X., & Courcoubetis, C. (2019). Peer-to-peer product sharing: Implications for ownership, usage, and social welfare in the sharing economy. Management Science, 65(2), 477-493.","We describe an equilibrium model of peer-to-peer product sharing, or collaborative consumption, where individuals with varying usage levels make decisions about whether or not to own a homogeneous product. Owners are able to generate income from renting their products to nonowners while nonowners are able to access these products through renting on an as-needed basis. We characterize equilibrium outcomes, including ownership and usage levels, consumer surplus, and social welfare. We compare each outcome in systems with and without collaborative consumption and examine the impact of various problem parameters. Our findings indicate that collaborative consumption can result in either lower or higher ownership and usage levels, with higher ownership and usage levels more likely when the cost of ownership is high. Our findings also indicate that consumers always benefit from collaborative consumption, with individuals who, in the absence of collaborative consumption, are indifferent between owning and not owning benefitting the most. We study both profit-maximizing and social-welfare–maximizing platforms and compare equilibrium outcomes under both in terms of ownership, usage, and social welfare. We find that the difference in social welfare between the profit-maximizing and social-welfare–maximizing platforms is relatively modest.",4,5
283,2019,"Guda, H., & Subramanian, U. (2019). Your uber is arriving: Managing on-demand workers through surge pricing, forecast communication, and worker incentives. Management Science, 65(5), 1995-2014.","On-demand platforms (e.g., Uber, Lyft) often rely on independent workers, who are not directly under the platform’s control, to be available at the “right” time and locations to serve consumers at short notice. To manage fluctuating demand across market locations (zones), on-demand platforms share market forecasts with workers to inform them where they should be available, and use surge pricing—wherein the price at a particular zone is temporarily raised above the regular price. We analyze these platform strategies in an on-demand marketplace where independent workers can move between adjacent zones, explicitly accounting for the strategic interaction in their moving decisions. We show that, contrary to conventional wisdom, surge pricing can be useful even in zones where supply exceeds demand. Specifically, because workers are strategic agents facing costs to move and competition from other workers who move, simply informing workers where they should be available may not ensure that enough workers move to that zone. Interestingly, more workers can be made to move from a zone with excess supply of workers by strategically using a surge price to throttle demand in that zone. Such strategic surge pricing can increase total platform profit across zones, and even be more profitable than offering workers bonuses to move. Surge pricing in a zone with excess supply can also be useful to credibly communicate the need for more workers to move. In other instances, such surge pricing may be useful to avoid too many workers from moving. Our analysis offers insights for effectively managing on-demand service with independentworkers.",4,5
284,2019,"de Zegher, J. F., Iancu, D. A., & Lee, H. L. (2019). Designing contracts and sourcing channels to create shared value. Manufacturing & Service Operations Management, 21(2), 271-289.","In complex supply chains, the benefits and costs of technological innovations do not always accrue equitably to all parties; thus, their adoption may critically depend on sourcing relationships and incentives. In a setting with uncertain and endogenous process yield, we study the potential of two features—contract design and sourcing channel—to create mutual benefit in decentralized value chains, where suppliers bear the costs of new technologies while benefits accrue primarily to buyers. Our focus is on agricultural value chains, where parties may transact through a channel that blends farmers’ produce (“commodity-based channel”) or that allows a one-on-one interaction between farmer and processor (“direct-sourcing channel”). Our study provides insights to companies seeking to incorporate responsible sourcing strategies while also creating economic value—a concept called “creating shared value.” We identify that the technology’s “cost elasticity” drives whether switching sourcing channel, changing contract structure, or adopting an integrated change is necessary to create shared value. This highlights that value chain innovations need to be properly designed—and sometimes combined—to achieve sustainable implementation. We also find that certain simple contracts with a linear or bonus structure are optimal, while other intuitive contracts could be detrimental. Using a data set of farms in Patagonia, Argentina, we estimate that the proposed mechanism could increase average supply chain profit by 6.9% while realizing positive environmental benefits.",4,5
285,2019,"Benjaafar, S., & Hu, M. (2020). Operations management in the age of the sharing economy: what is old and what is new?. Manufacturing & Service Operations Management, 22(1), 93-101.","The sharing economy, a term we use to refer to business models built around on-demand access to products and services mediated by online platforms that match many small suppliers or service providers to many small buyers, has emerged as an important area of study in operations management. We first describe three “canonical” applications that have garnered much attention from the operations management community. We use these applications to highlight distinguishing features of sharing economy business models and to point out research questions that are new. Then we draw connections between classical operations management theory and models and those that have been used to study sharing economy applications. We do so to put in context some of the recent work on the sharing economy and to showcase the underlying modeling toolkit and identify opportunities for future research.",2,2
286,2019,"Chen, Y., & Hu, M. (2019). Pricing and matching with forward-looking buyers and sellers. Manufacturing & Service Operations Management.","Problem definition: We study a dynamic market over a finite horizon for a single product or service in which buyers with private valuations and sellers with private supply costs arrive following Poisson processes. A single market-making intermediary decides dynamically on the ask and bid prices that will be posted to buyers and sellers, respectively, and on the matching decisions after buyers and sellers agree to buy and sell. Buyers and sellers can wait strategically for better prices after they arrive. Academic/practical relevance: This problem is motivated by the emerging sharing economy and directly speaks to the core of operations management that is about matching supply with demand. Methodology: The dynamic, stochastic, and game-theoretic nature makes the problem intractable. We employ the mechanism-design methodology to establish a tractable upper bound on the optimal profit, which motivates a simple heuristic policy. Results: Our heuristic policy is: fixed ask and bid prices plus price adjustments as compensation for waiting costs, in conjunction with the greedy matching policy on a first-come-first-served basis. These fixed base prices balance demand and supply in expectation and can be computed efficiently. The waiting-compensated price processes are time-dependent and tend to have opposite trends at the beginning and end of the horizon. Under this heuristic policy, forward-looking buyers and sellers behave myopically. This policy is shown to be asymptotically optimal. Managerial implications: Our results suggest that the intermediary might not lose much optimality by maintaining stable prices unless the underlying market conditions have significantly changed, not to mention that frequent surge pricing may antagonize riders and induce riders and drivers to behave strategically in ways that are hard to account for with traditional pricing models.",4,5
287,2019,"Li, H., & Srinivasan, K. (2019). Competitive dynamics in the sharing economy: an analysis in the context of Airbnb and hotels. Marketing Science, 38(3), 365-391.","The entry of flexible-capacity sharing economy platforms (e.g., Airbnb and Uber) has potentially changed the competitive landscape in traditional industries with fixed-capacity incumbents and volatile demand. Leveraging panel data on hotels and Airbnb, we study how the sharing economy fundamentally changes the way the industry accommodates demand fluctuations and how incumbent firms should strategically respond. The demand estimates suggest that Airbnb’s flexible supply helps recover the lost underlying demand due to hotel seasonal pricing (i.e., higher prices during high-demand seasons) and even stimulates more demand in some cities. The counterfactual results suggest that some hotel types in some cities may benefit from conducting less seasonal pricing and even considering counter-seasonal pricing. Market conditions (e.g., seasonality patterns, hotel prices and quality, consumer composition, and Airbnb supply elasticity) play a crucial role in determining the impact of Airbnb on hotel sales and hotels’ strategic response. Finally, recent Airbnb and policy changes (e.g., higher Airbnb hosting costs due to hotel taxes or lower Airbnb hosting costs due to third-party services and the “professionalism” of hosts) affect the competitive dynamics. The profits of high-end hotels are the most sensitive to the changes in Airbnb hosting costs. Airbnb’s recent attempt to behave more like hotels can increase hotels’ vulnerability to lower Airbnb hosting costs.",4,5
288,2019,"Kohtamäki, M., Henneberg, S. C., Martinez, V., Kimita, K., & Gebauer, H. (2019). A Configurational Approach to Servitization: Review and Research Directions. Service Science, 11(3), 213-240.","By acknowledging the full complexity of the phenomenon of servitization and its manifold drivers and outcomes, we extend the current literature through a configurational perspective, the aim of which is to understand the interplay between the drivers (conditions) that lead to certain equifinal outcomes of servitization. The present study aims to take stock of the servitization literature by utilizing the contingency theory of strategy as our foundational theory and the strategy–structure–environment approach as our primary framework to systematically review and analyze the identified configurational servitization studies. We identify commonalities and gaps in the literature, and we set directions for future research.",2,2
